型号,产品名称,产品类型,系列,产品组件,开箱配件/装箱清单,组件抽取状态,组件来源关键词,配件抽取状态,配件来源关键词,来源PDF,PDF链接,型号重复次数,组件来源片段,配件来源片段
200,200 Compact 软水机说明书,软水机,软水机,"原水—>阳离子交换树脂（自动再生反冲）一>软水
软水
市政进水
盐阀
阀体
树脂罐
吸盐阀
树脂
（图1）
型号
200
Compact
聚甲醛进出
水控制阀
1套
聚乙烯内衬
玻璃钢桶
¢203X483mm
1个
聚乙烯
中心管
1根
丙烯腈-丁二烯-苯乙
烯共聚物布水器
钠型阳离子
|聚乙烯
交换树脂
盐箱
11L
外形尺寸",组装和安装所需小零件/零配件袋,found,结构示意图,found,开箱,200 Compact 软水机说明书.pdf,../200 Compact 软水机说明书.pdf,2,"原水—>阳离子交换树脂（自动再生反冲）一>软水 软水 市政进水 盐阀 、阀体 J 树脂罐 吸盐阀 树脂 （图1） 型号 200 Compact 型 聚甲醛进出 水控制阀 1套 聚乙烯内衬 玻璃钢桶 ¢203X483mm 1个 聚乙烯 中心管 1根 丙烯腈-丁二烯-苯乙 烯共聚物布水器 1套 钠型阳离子 |聚乙烯 交换树脂 盐箱 11L 1个 3 外形尺寸 F9OWATER 外形尺寸 -43cm 上入 8.6 cm 32.5 cm 型号 200 Compact 标称树脂箱尺寸 直径8""x19"" 顶视图 入-出 68",及安装 FCOWATER 1. 开箱 怡口 200Compact 软水机出厂时采用纸箱包装。 纸箱内还包括一袋组装和安装软水机所需的小零件和本 说明书。 请仔细检查怡口软水机，确认是否存在运输损坏或 零件遗失问题。还应检查装运箱是否损坏。如损坏，请 联系运输公司。 对于运输过程中产生的损坏，怡口公司概不负责。 拆除并丢弃（再循环）所有包装材料。我们建议您 在使用之前妥善保存袋子中的小零件。 2.
200,200 Compact 黑钻系列,其他,黑钻系列,"原水—>阳离子交换树脂（自动再生反冲）一>软水
软水
市政进水
盐阀
阀体
树脂罐
吸盐阀
树脂
（图1）
型号
200
Compact
聚甲醛进出
水控制阀
1套
聚乙烯内衬
玻璃钢桶
¢203X483mm
1个
聚乙烯
中心管
1根
丙烯腈-丁二烯-苯乙
烯共聚物布水器
钠型阳离子
|聚乙烯
交换树脂
盐箱
11L
外形尺寸",组装和安装所需小零件/零配件袋,found,结构示意图,found,开箱,200 Compact 黑钻系列.pdf,../200 Compact 黑钻系列.pdf,2,"原水—>阳离子交换树脂（自动再生反冲）一>软水 软水 市政进水 盐阀 、阀体 J 树脂罐 吸盐阀 树脂 （图1） 型号 200 Compact 型 聚甲醛进出 水控制阀 1套 聚乙烯内衬 玻璃钢桶 ¢203X483mm 1个 聚乙烯 中心管 1根 丙烯腈-丁二烯-苯乙 烯共聚物布水器 1套 钠型阳离子 |聚乙烯 交换树脂 盐箱 11L 1个 3 外形尺寸 F9OWATER 外形尺寸 -43cm 上入 8.6 cm 32.5 cm 型号 200 Compact 标称树脂箱尺寸 直径8""x19"" 顶视图 入-出 68",及安装 FCOWATER 1. 开箱 怡口 200Compact 软水机出厂时采用纸箱包装。 纸箱内还包括一袋组装和安装软水机所需的小零件和本 说明书。 请仔细检查怡口软水机，确认是否存在运输损坏或 零件遗失问题。还应检查装运箱是否损坏。如损坏，请 联系运输公司。 对于运输过程中产生的损坏，怡口公司概不负责。 拆除并丢弃（再循环）所有包装材料。我们建议您 在使用之前妥善保存袋子中的小零件。 2.
300,300 Boost 黑钻系列,其他,黑钻系列,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,300 Boost 黑钻系列.pdf,../300 Boost 黑钻系列.pdf,1,,
500,500 Power 黑钻系列,其他,黑钻系列,"软水
市政进水
阀体
树脂罐吸盐阀
盐阀
树脂
型号
聚甲醛进出
水控制阀
聚乙烯内衬
玻璃钢桶
聚乙烯
中心管
丙烯腈-丁二烯-苯乙
烯共聚物布水器
钠型阳离子
交换树脂
盐箱
10L
15L
25L
φ203X483mm
1个
φ203X635mm
φ254X889mm
1套
1根
EVOLUTION
200
Compact",未在可识别正文中找到明确开箱配件或装箱清单,found,结构示意图,not_found,,500 Power 黑钻系列.pdf,../500 Power 黑钻系列.pdf,1,软水 市政进水 阀体 树脂罐吸盐阀 盐阀 树脂 型号 聚甲醛进出 水控制阀 聚乙烯内衬 玻璃钢桶 聚乙烯 中心管 丙烯腈-丁二烯-苯乙 烯共聚物布水器 钠型阳离子 交换树脂 聚乙烯 盐箱 10L 15L 25L φ203X483mm 1个 φ203X635mm 1个 φ254X889mm 1个 1套 1套 1套 1套 1套 1套 1根 1根 1根 1个 1个 1个 EVOLUTION 200 Compact 型 EVOLUTION 300 Boost 型 EVOLUTION 500 Power 型 4 EVOLUT,
EWSH-100E,6043706 EWSH-100E 商用直饮机说明书,商用直饮,商用直饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,6043706 EWSH-100E 商用直饮机说明书.pdf,../6043706 EWSH-100E 商用直饮机说明书.pdf,1,,
EWSH100E,6043706 EWSH-100E 商用直饮机说明书,商用直饮,商用直饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,6043706 EWSH-100E 商用直饮机说明书.pdf,../6043706 EWSH-100E 商用直饮机说明书.pdf,1,,
609ECM,609ECM 轻柔标准型,软水机,轻柔,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,609ECM 轻柔标准型.pdf,../609ECM 轻柔标准型.pdf,1,,
610WHF,610WHF 净雅标准型,复合/中央净水,净雅,"ඣ 出水 市政进水 阀体 不锈钢过滤网组件 中心管 颗粒活性炭 石英砂 布水器 4 三、产品功能 工作过程 在正常工作状态下，水进入中央净水机，经过多种滤料来去除原水中的异味和污物...
本净水机无法处理为达到安全使用标准和水质不明的水源并使其达到饮用标准
中央净水机可能无法处理含有硫化氢（臭鸡蛋气味）的水源
中央净水机不能去除水中的铁离子，因此不能代替除铁设备
尽管中央净水机有过滤沉淀物的功能，但在处理某些问题水源时，仍需进行进一步去除颗粒污 染物。 主要成份或部件 610WHF 型 618WHF 型 聚丙烯进出水控制阀 1 套 1 套...",未在可识别正文中找到明确开箱配件或装箱清单,found,结构示意图,not_found,,610WHF 净雅标准型.pdf,../610WHF 净雅标准型.pdf,1,ඣ 出水 市政进水 阀体 不锈钢过滤网组件 中心管 颗粒活性炭 石英砂 布水器 4 三、产品功能 工作过程 在正常工作状态下，水进入中央净水机，经过多种滤料来去除原水中的异味和污物。 清洗过程 清洗流程会根据预先设定的时间自动启动。反冲洗水流将冲洗滤料，在对其进行冲洗后重新压实以 供继续使用。在清洗阶段，中央净水机内沉积的污垢和异物等都会被冲洗掉并从排水口排出。 适用范围 1. 本净水机无法处理为达到安全使用标准和水质不明的水源并使其达到饮用标准。 2. 中央净水机可能无法处理含有硫化氢（臭鸡蛋气味）的水源。 3.,
611ECM,611ECM 轻柔增强型,软水机,轻柔,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,611ECM 轻柔增强型.pdf,../611ECM 轻柔增强型.pdf,1,,
615ECM,615ECM 轻柔豪华型,软水机,轻柔,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,615ECM 轻柔豪华型.pdf,../615ECM 轻柔豪华型.pdf,1,,
618WHF,618WHF 净雅增强型,复合/中央净水,净雅,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,618WHF 净雅增强型.pdf,../618WHF 净雅增强型.pdf,1,,
710ECM,710ECM 720ECM 730ECM说明书云钻系列软水机,软水机,云钻系列,"软水
市政进水
盐阀
阀体
吸盐阀
树脂罐
树脂
30","及安装 F9OWATER 二、开箱及安装 1．加装阀门 在软水机进水前的供水管道上加装阀门，方便在必要的时候切断通向软水机的水源
关闭通向热水器的电源和气源
打开房屋最高和最低的两个水龙头，将管路中剩余的水排掉，然后关上水龙头
打开包装箱，并去除软水机内部的所有包装材料
将标配旁通阀安装在机器上。注意出水口配有流量轮和感应器。卡接式管件的安装非常方便，只調 要将管接头插到位，然后用卡夹卡紧，管件就不会脱落
将软水机移动到安装地点，放置在一个光滑的水平面上，必要时可在下面垫一块 2cm 的木板（木板 大小须略大于盐箱底面）。如有需要，可在木板下方加垫支撑物来达到平稳
将进出水管与房屋管路相连接。 • 注意将未经处理进水（自来水）连接在标有 “Inlet”的一端，将出水（软水）管与标有 “Outlet” 的一端相连接。 • 如果未使用标配旁通阀...
连接阀头排水软管（见图 3）： • 将标配（内径为7/16""）的排水软管插入阀头上的排水口，并用卡子将其固定。 • 另一端接到地漏（注意留有 4cm 的空隙以防止虹吸）。 • 妥善...
系统单位（System units）：标准情况下请选择公制（Metric）.如 果已经有一个黑点在所需系统单位旁边（见图4），则直接进 入步骤2。否则，按向下键（V）或者向上键（A...
按选择键（◎）
进水硬度（Hardness） ，按向上键（A）或者向下键（V）来设 置水的硬度值（见图6）。 注意：不要通过增加硬度设置值来补偿水中的铁离子含量。在以 下步骤中，可设置铁离子含量...
盐位（Salt level）按向上键（A）或者向下键（V）来设置盐 位（见图7）。盐位应该达到在盐罐的盐水井贴膜上能够看见 的最低数字（仅适用于710ECM）
按选择键（◎）。 9.铁离子含量（Iron level）按向上键（A）或者向下键（V）来 设置水的铁离子水平值（见图8）。转换系数为：每1个PPM 的铁离子为3格令
按选择（◎）键，则屏幕将显示“设置完成！”（Setup complete）（见图 9）
如果您在该点想要返回并变更数据，则按向下键（V）滚动 到重新设置（Redo setup），然后再按选择键（◎）两次，重 复操作这六个“向导”屏幕
如果不需要做出变更，则确认有一个黑点在运行软水机 （Run softener）旁边（见图9），按选择（◎）键，软水机开始正常 运行。 5 F9OWATE System units...",found,结构示意图,found,开箱,710ECM 720ECM 730ECM说明书云钻系列软水机.pdf,../710ECM 720ECM 730ECM说明书云钻系列软水机.pdf,1,"软水 市政进水 盐阀 阀体 吸盐阀 树脂罐 树脂 30 维护知识 尺寸及规格 86 Four 431 - 辭 亻 308 仁 F9OWATER 431 308 EN 86 Four N OUT口 A Jourg A 型号 710ECM 720ECM 730ECM 标称树脂箱尺寸 直径9""x14"" 直径8""×19"" 直径8""x25"" 主要成分或部件 型号 进出水 控制阀 PE内衬玻璃钢桶 材质玻璃缸 （内置PE内胆） 710ECM 材质：ABS 1套 720ECM 材质：ABS 1套 730ECM 材质：ABS 1套",及安装 F9OWATER 二、开箱及安装 1．加装阀门 在软水机进水前的供水管道上加装阀门，方便在必要的时候切断通向软水机的水源。 2. 关闭通向热水器的电源和气源。 3. 打开房屋最高和最低的两个水龙头，将管路中剩余的水排掉，然后关上水龙头。 4. 打开包装箱，并去除软水机内部的所有包装材料。 5. 将标配旁通阀安装在机器上。注意出水口配有流量轮和感应器。卡接式管件的安装非常方便，只調 要将管接头插到位，然后用卡夹卡紧，管件就不会脱落。 6. 将软水机移动到安装地点，放置在一个光滑的水平面上，必要时可在下面垫一块
