id,title,type,originalFileName,sourceFileName,savedName,bytes,status,message
1069,产品说明书使用指南,标准图文,,,,0,skipped,标准图文内容，无文档课件 PDF 下载地址
1071,产品说明书使用指南,标准图文,,,,0,skipped,标准图文内容，无文档课件 PDF 下载地址
1114,【产品说明书】ESF20-A 清滤宝黑钻尊享型,文档,清滤宝黑钻尊享型 ESF20-A_20220712145727970.pdf,ecowater/content/20220712/清滤宝黑钻尊享型 ESF20-A_20220712145727970.pdf,ESF20-A 清滤宝黑钻尊享型.pdf,4509140,ok,downloaded
1115,【产品说明书】ESF21-A 清滤宝黑钻尊享型,文档,清滤宝黑钻尊享型ESF21-A_20220712145858657.pdf,ecowater/content/20220712/清滤宝黑钻尊享型ESF21-A_20220712145858657.pdf,ESF21-A 清滤宝黑钻尊享型.pdf,4509140,ok,downloaded
1116,【产品说明书】ESF10-A 清滤宝智能加强型,文档,清滤宝智能加强型 ESF10-A_2022071215000143.pdf,ecowater/content/20220712/清滤宝智能加强型 ESF10-A_2022071215000143.pdf,ESF10-A 清滤宝智能加强型.pdf,19105929,ok,downloaded
1117,【产品说明书】ESF05-M 清滤宝标准型,文档,清滤宝标准型 ESF05-M_20220712154218693.pdf,ecowater/content/20220712/清滤宝标准型 ESF05-M_20220712154218693.pdf,ESF05-M 清滤宝标准型.pdf,17194916,ok,downloaded
1118,【产品说明书】ESF102-M 清滤宝基础型,文档,清滤宝基础型 ESF102-M_20220712154527231.pdf,ecowater/content/20220712/清滤宝基础型 ESF102-M_20220712154527231.pdf,ESF102-M 清滤宝基础型.pdf,3402187,ok,downloaded
1119,【产品说明书】ESF02-M 清滤宝基础型,文档,清滤宝基础型 ESF02-M_2022071215464190.pdf,ecowater/content/20220712/清滤宝基础型 ESF02-M_2022071215464190.pdf,ESF02-M 清滤宝基础型.pdf,15338864,ok,downloaded
1120,【产品说明书】MASF1 清滤宝基本型,文档,清滤宝基本型 MASF1_20220712155043970.pdf,ecowater/content/20220712/清滤宝基本型 MASF1_20220712155043970.pdf,MASF1 清滤宝基本型.pdf,13769949,ok,downloaded
1121,【产品说明书】EPSF09-A 清滤卫士智能型,文档,清滤卫士智能型EPSF09-A_20220712155137264.pdf,ecowater/content/20220712/清滤卫士智能型EPSF09-A_20220712155137264.pdf,EPSF09-A 清滤卫士智能型.pdf,4334787,ok,downloaded
1122,【产品说明书】EPSF04-M 清滤卫士标准型,文档,清滤卫士标准型EPSF04-M_20220712155228775.pdf,ecowater/content/20220712/清滤卫士标准型EPSF04-M_20220712155228775.pdf,EPSF04-M 清滤卫士标准型.pdf,17078390,ok,downloaded
1123,【产品说明书】EPSF03-M 怡可飘,文档,怡可飘 EPSF03-M_20220712155318607.pdf,ecowater/content/20220712/怡可飘 EPSF03-M_20220712155318607.pdf,EPSF03-M 怡可飘.pdf,20802642,ok,downloaded
1124,【产品说明书】EPSF01-M 怡可飘,文档,怡可飘 EPSF01-M _20220712155414664.pdf,ecowater/content/20220712/怡可飘 EPSF01-M _20220712155414664.pdf,EPSF01-M 怡可飘.pdf,20802642,ok,downloaded
1125,【产品说明书】ETF2300 ECCWS 黑钻系列,文档,8.6033727_ETF2300 ECCWS Owner Manual,ecowater/content/20250306/20250306160301/b1956a7ab17412m7x27m.pdf,ETF2300 ECCWS 黑钻系列.pdf,11015438,ok,downloaded
1126,【产品说明书】ETF2300 PF12 黑钻系列,文档,6.6033719_ETF2300 PF12 Owner Manual,ecowater/content/20250306/20250306160355/o1956a7b817412m7x28m.pdf,ETF2300 PF12 黑钻系列.pdf,3686954,ok,downloaded
1127,【产品说明书】MG2100-PF10 净雅除铅豪华型,文档,净雅除铅豪华型 MG2100-PF10_20220712160306328.pdf,ecowater/content/20220712/净雅除铅豪华型 MG2100-PF10_20220712160306328.pdf,MG2100-PF10 净雅除铅豪华型.pdf,2074364,ok,downloaded
1128,【产品说明书】MG2100-PF12 净雅除豪华超容型,文档,净雅除铅豪华超容型 MG2100-PF12_20220712160700792.pdf,ecowater/content/20220712/净雅除铅豪华超容型 MG2100-PF12_20220712160700792.pdf,MG2100-PF12 净雅除豪华超容型.pdf,2074364,ok,downloaded
1129,【产品说明书】MG2100-PF20 净雅除铅增强型,文档,净雅除铅增强型 MG2100-PF20_202207121610599.pdf,ecowater/content/20220712/净雅除铅增强型 MG2100-PF20_202207121610599.pdf,MG2100-PF20 净雅除铅增强型.pdf,1736282,ok,downloaded
1130,【产品说明书】MG610WHF 净雅除铅灵巧型,文档,净雅除铅灵巧型 MG610WHF_20220712161329955.pdf,ecowater/content/20220712/净雅除铅灵巧型 MG610WHF_20220712161329955.pdf,MG610WHF 净雅除铅灵巧型.pdf,1678191,ok,downloaded
1131,【产品说明书】MG618WHF 净雅除铅标准型,文档,净雅除铅标准型 MG618WHF_20220712161422116.pdf,ecowater/content/20220712/净雅除铅标准型 MG618WHF_20220712161422116.pdf,MG618WHF 净雅除铅标准型.pdf,1678191,ok,downloaded
1132,【产品说明书】610WHF 净雅标准型,文档,净雅标准型 610WHF_20220712161519803.pdf,ecowater/content/20220712/净雅标准型 610WHF_20220712161519803.pdf,610WHF 净雅标准型.pdf,1862264,ok,downloaded
1133,【产品说明书】618WHF 净雅增强型,文档,2.6003709_610_618WHF Owner Manual,ecowater/content/20250306/20250306160852/x1956a80117412m7x2ff.pdf,618WHF 净雅增强型.pdf,17733589,ok,downloaded
1134,【产品说明书】ETF2100-PF10 净雅超容豪华型,文档,3.6003710_ETF2100-PF10 Owner Manual,ecowater/content/20250306/20250306160758/c1956a7f317412m7x2dg.pdf,ETF2100-PF10 净雅超容豪华型.pdf,18460058,ok,downloaded
1135,【产品说明书】200 Compact 黑钻系列,文档,4.6033788_200 Compact Owners' Manual REV B,ecowater/content/20250306/20250306160729/z1956a7ec17412m7x2db.pdf,200 Compact 黑钻系列.pdf,24159861,ok,downloaded
1136,【产品说明书】300 Boost 黑钻系列,文档,5.6033718_Evolution 200Compact _300Boost_500PowerOwner Manual,ecowater/content/20250306/20250306160603/s1956a7d717412m7x2bf.pdf,300 Boost 黑钻系列.pdf,24144939,ok,downloaded
1137,【产品说明书】500 Power 黑钻系列,文档,黑钻系列500 Power_20220712163347374.pdf,ecowater/content/20220712/黑钻系列500 Power_20220712163347374.pdf,500 Power 黑钻系列.pdf,20912564,ok,downloaded
1138,【产品说明书】ECR3500 R20 超柔智多星标准型,文档,超柔智多星标准型ECR3500 R20_20220712163621866.pdf,ecowater/content/20220712/超柔智多星标准型ECR3500 R20_20220712163621866.pdf,ECR3500 R20 超柔智多星标准型.pdf,4912865,ok,downloaded
1139,【产品说明书】ECR3500 R30 超柔智多星增强型,文档,超柔智多星增强型ECR3500 R30_20220712163728451.pdf,ecowater/content/20220712/超柔智多星增强型ECR3500 R30_20220712163728451.pdf,ECR3500 R30 超柔智多星增强型.pdf,4912865,ok,downloaded
1140,【产品说明书】918ECM 润柔标准型,文档,润柔标准型918ECM_20220712163836703.pdf,ecowater/content/20220712/润柔标准型918ECM_20220712163836703.pdf,918ECM 润柔标准型.pdf,7156176,ok,downloaded
